,job_title,salary_usd,experience_level,employment_type,company_location,company_size,required_skills,education_required,years_experience,industry,company_name,post_date,year,remote_category
0,AI Research Scientist,90376,SE,CT,China,M,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,Smart Analytics,2024-10-18,2024,Hybrid
1,AI Software Engineer,61895,EN,CT,Canada,M,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,TechCorp Inc,2024-11-20,2024,Remote
2,AI Specialist,152626,MI,FL,Switzerland,L,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,Autonomous Tech,2025-03-18,2025,On-Site
3,NLP Engineer,80215,SE,FL,India,M,"Scala, SQL, Linux, Python",PhD,7,Consulting,Future Systems,2024-12-23,2024,Hybrid
4,AI Consultant,54624,EN,PT,France,S,"MLOps, Java, Tableau, Python",Master,0,Media,Advanced Robotics,2025-04-15,2025,Remote
5,AI Architect,123574,SE,CT,Germany,M,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,Neural Networks Co,2024-08-31,2024,Hybrid
6,Principal Data Scientist,79670,MI,FL,United Kingdom,S,"R, Docker, MLOps",Associate,3,Gaming,DataVision Ltd,2024-12-29,2024,On-Site
7,NLP Engineer,70640,EN,FL,France,L,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,Cloud AI Solutions,2024-06-07,2024,On-Site
8,Data Analyst,160710,SE,CT,Singapore,L,"Hadoop, Git, Mathematics, Python",PhD,7,Government,Quantum Computing Inc,2024-11-04,2024,On-Site
9,AI Software Engineer,102557,SE,PT,Austria,M,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,Cloud AI Solutions,2024-10-20,2024,On-Site
10,Autonomous Systems Engineer,102322,SE,PT,Sweden,M,"MLOps, Python, SQL",Associate,8,Telecommunications,Smart Analytics,2025-01-29,2025,Remote
11,AI Architect,115047,EX,CT,South Korea,S,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,TechCorp Inc,2024-07-16,2024,On-Site
12,AI Consultant,124355,SE,CT,France,M,"Tableau, Python, TensorFlow",PhD,5,Automotive,Predictive Systems,2024-12-29,2024,Remote
13,Autonomous Systems Engineer,68760,EN,CT,Norway,S,"Scala, SQL, Statistics",Master,0,Energy,Cloud AI Solutions,2024-02-11,2024,On-Site
14,AI Research Scientist,150122,SE,FT,Sweden,M,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,Advanced Robotics,2024-10-02,2024,Remote
